call_id,call_timestamp,campaign_id,list_id,lead_id,phone_number,agent_id,attempt_number,dialing_mode,call_direction,ring_time_ms,queue_time_ms,talk_time_ms,call_duration_seconds,disposition_code,abandoned,recording_url,cost_credits,wrapup_code
call-0001,2025-11-14 08:03:12,camp-001,list-20251114,lead-001,+55 11 91234-0001,agent-1,1,predictive,outbound,500,12000,180000,181200,CONV,false,https://recordings.example/rec-call-0001.mp3,0.0450,WRAP_CB
call-0002,2025-11-14 08:15:40,camp-001,list-20251114,lead-002,+55 11 91234-0002,agent-2,1,predictive,outbound,300,8000,0,8300,NO_ANS,false,
call-0003,2025-11-14 09:02:07,camp-002,list-20251114,lead-003,+55 21 99876-0003,agent-4,1,progressive,outbound,200,0,60000,60600,VM,false,
call-0004,2025-11-14 09:10:22,camp-003,list-20251114,lead-004,+55 21 99876-0004,agent-3,1,preview,outbound,150,2000,90000,92000,CONV,false,https://recordings.example/rec-call-0004.mp3,0.0300,WRAP_CB
call-0005,2025-11-14 10:05:55,camp-001,list-20251114,lead-005,+55 31 99988-0005,agent-1,2,predictive,outbound,400,5000,0,5400,BUSY,false,
call-0006,2025-11-14 10:20:11,camp-002,list-20251114,lead-001,+55 11 91234-0001,agent-2,2,progressive,outbound,450,0,120000,120450,CONV,false,https://recordings.example/rec-call-0006.mp3,0.0500,WRAP_CB
call-0007,2025-11-14 11:35:00,camp-003,list-20251114,lead-002,+55 11 91234-0002,agent-3,1,preview,outbound,120,1000,0,1120,NO_ANS,false,
call-0008,2025-11-14 12:00:05,camp-001,list-20251114,lead-003,+55 21 99876-0003,agent-1,1,predictive,outbound,600,15000,0,15600,ABANDONED,true,
call-0009,2025-11-14 12:22:18,camp-002,list-20251114,lead-004,+55 21 99876-0004,agent-4,1,progressive,outbound,250,0,240000,240250,CONV,false,https://recordings.example/rec-call-0009.mp3,0.0600,WRAP_CB
call-0010,2025-11-14 13:05:43,camp-001,list-20251114,lead-005,+55 31 99988-0005,agent-2,3,predictive,outbound,350,9000,0,9350,BUSY,false,
call-0011,2025-11-14 13:15:00,camp-003,list-20251114,lead-001,+55 11 91234-0001,agent-3,1,preview,outbound,180,3000,60000,63360,CALLBACK,false,
call-0012,2025-11-14 14:00:10,camp-001,list-20251114,lead-002,+55 11 91234-0002,agent-1,2,predictive,outbound,220,7000,0,7220,NO_ANS,false,
call-0013,2025-11-14 14:30:30,camp-002,list-20251114,lead-003,+55 21 99876-0003,agent-4,2,progressive,outbound,400,0,180000,180400,CONV,false,https://recordings.example/rec-call-0013.mp3,0.0550,WRAP_CB
call-0014,2025-11-14 15:05:05,camp-001,list-20251114,lead-004,+55 21 99876-0004,agent-1,1,predictive,outbound,310,11000,0,11310,VM,false,
call-0015,2025-11-14 15:45:47,camp-003,list-20251114,lead-005,+55 31 99988-0005,agent-3,1,preview,outbound,140,2500,90000,92740,CONV,false,https://recordings.example/rec-call-0015.mp3,0.0280,WRAP_CB
call-0016,2025-11-14 16:10:11,camp-001,list-20251114,lead-001,+55 11 91234-0001,agent-2,3,predictive,outbound,260,8000,0,8260,BUSY,false,
call-0017,2025-11-14 16:45:30,camp-002,list-20251114,lead-002,+55 11 91234-0002,agent-4,1,progressive,outbound,210,0,30000,30210,CONV,false,https://recordings.example/rec-call-0017.mp3,0.0350,WRAP_CB
call-0018,2025-11-14 17:05:05,camp-001,list-20251114,lead-003,+55 21 99876-0003,agent-1,2,predictive,outbound,320,10000,0,10320,NO_ANS,false,
call-0019,2025-11-14 17:30:55,camp-003,list-20251114,lead-004,+55 21 99876-0004,agent-3,1,preview,outbound,90,500,0,590,NO_ANS,false,
call-0020,2025-11-14 17:59:59,camp-002,list-20251114,lead-005,+55 31 99988-0005,agent-2,2,progressive,outbound,180,0,45000,45180,CONV,false,https://recordings.example/rec-call-0020.mp3,0.0400,WRAP_CB
